local code,text,table_name,parent_varname,local code system,code,display,code system,comment
FAMMEMB,Family Member,subject,subject,FamilyRelationship,FAMMEMB,family member,http://terminology.hl7.org/CodeSystem/v3-RoleCode,
Male,Male,participant,Sex,Sex,male,Male,http://hl7.org/fhir/administrative-gender,
Female,Female,participant,Sex,Sex,female,Female,http://hl7.org/fhir/administrative-gender,
White,White,participant,ancestry,Race,2028-9,White,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
American Indian or Alaska Native,American Indian or Alaska Native,participant,ancestry,Race,1002-5,American Indian or Alaska Native,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Asian,Asian,participant,ancestry,Race,2028-9,Asian,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Black or African-American,Black or African-American,participant,ancestry,Race,2054-5,Black or African American,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
More than one race,More than one race,participant,ancestry,Race,UNK,Unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,
NA,NA,participant,ancestry,Race,UNK,Unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Native Hawaiian or Other Pacific Islander,Native Hawaiian or Other Pacific Islander,participant,ancestry,Race,2076-8,Native Hawaiian or Other Pacific Islander,urn:oid:2.16.840.1.113883.6.238,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Other,Other,participant,ancestry,Race,UNK,Unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Other,Other,participant,ancestry,Race,other,Other,http://hl7.org/fhir/administrative-gender,
Prefer not to answer,Prefer not to answer,participant,ancestry,Race,ASKU,asked but unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Hispanic or Latino,Hispanic or Latino,participant,ancestry,Ethnicity,2135-2,Hispanic or Latino,urn:oid:2.16.840.1.113883.6.238,
NA,NA,participant,Ethnicity,Ethnicity,UNK,Unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
Not Hispanic or Latino,Not Hispanic or Latino,participant,Ethnicity,Ethnicity,2186-5,Not Hispanic or Latino,urn:oid:2.16.840.1.113883.6.238,
Prefer not to answer,Prefer not to answer,participant,Ethnicity,Ethnicity,ASKU,asked but unknown,http://terminology.hl7.org/CodeSystem/v3-NullFlavor,https://docs.google.com/spreadsheets/d/1cHSburUDg6CR4az5FZR82FI992h7cyv-22pLVTFLZvE/edit#gid=1746314807
True,True,conditions,ConditionPresent,ConditionPresent,confirmed,Confirmed,http://terminology.hl7.org/CodeSystem/condition-ver-status
False,False,conditions,ConditionPresent,ConditionPresent,refuted,Refuted,http://terminology.hl7.org/CodeSystem/condition-ver-status
Maybe,Maybe,conditions,ConditionPresent,ConditionPresent,provisional,Provisional,http://terminology.hl7.org/CodeSystem/condition-ver-status
Affected,Affected,sample,tissue_affected_status,tissue_affected_status,POS,Positive,http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,
Unaffected,Unaffected,sample,tissue_affected_status,tissue_affected_status,NEG,Negative,http://terminology.hl7.org/CodeSystem/v3-ObservationInterpretation,
Mother,Mother,subject,maternal_id,FamilyRelationship,MTH,mother,http://terminology.hl7.org/CodeSystem/v3-RoleCode,
Father,Father,subject,paternal_id,FamilyRelationship,FTH,father,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Child,Child,subject,subject,FamilyRelationship,NCHILD,natural child,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Male,Male,subject,subject,FamilyRelationship,SON,natural son,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Female,Female,subject,subject,FamilyRelationship,DAU,natural daughter,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Unknown,Unknown,subject,subject,FamilyRelationship,NCHILD,natural child,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Intersex,Intersex,subject,subject,FamilyRelationship,NCHILD,natural child,http://terminology.hl7.org/CodeSystem/v3-RoleCode
Twin,Twin,subject,subject,FamilyRelationship,TWIN,twin,http://terminology.hl7.org/CodeSystem/v3-RoleCode
TwinBrother,Twin Brother,subject,subject,FamilyRelationship,TWINBRO,twin brother,http://terminology.hl7.org/CodeSystem/v3-RoleCode
TwinSister,Twin Sister,subject,subject,FamilyRelationship,TWINSIS,twin sister,http://terminology.hl7.org/CodeSystem/v3-RoleCode
bam,BAM File,sequencing,seq_filename,DataType,Aligned-Reads,Aligned Reads,https://nih-ncpi.github.io/ncpi-fhir-ig/data_types,
gvcf,gvcf,sequencing,seq_filename,DataType,gVCF,gVCF,https://nih-ncpi.github.io/ncpi-fhir-ig/data_types,
Controlled,Controlled,sequencing,access_type,access_type,controlled,Controlled,https://includedcc.org/fhir/code-systems/data_access_types,https://docs.google.com/spreadsheets/d/1_qbnn1VVlQS0tGprkiJbOhHZFixvs2qAVj5Rrdi2EaU/edit#gid=857513026
Registered,Registered,sequencing,access_type,access_type,registered,Registered,https://includedcc.org/fhir/code-systems/data_access_types,https://docs.google.com/spreadsheets/d/1_qbnn1VVlQS0tGprkiJbOhHZFixvs2qAVj5Rrdi2EaU/edit#gid=857513026
WHOLE_GENOME,Whole Genome Sequencing,sequencing,exome_capture_platform,DataCategory,Genomics,Genomics,https://nih-ncpi.github.io/ncpi-fhir-ig/data_categories,
WGS,Whole Genome Sequencing,sequencing,sequencing_assay,ExperimentStrategy,WGS,Whole Genome,https://nih-ncpi.github.io/ncpi-fhir-ig/experimental_strategies,
DNA,DNA,sequencing,analyte_type,SampleType,OBI:0001051,DNA extract,http://purl.obolibrary.org/obo/obi.owl,
OMIM:100050,"AARSKOG SYNDROME, AUTOSOMAL DOMINANT",subject,disease_id,disease_id,OMIM:100050,"AARSKOG SYNDROME, AUTOSOMAL DOMINANT",https://omim.org/,
OMIM:100300,ADAMS-OLIVER SYNDROME 1; AOS1,subject,disease_id,disease_id,OMIM:100300,ADAMS-OLIVER SYNDROME 1; AOS1,https://omim.org/,
OMIM:100800,ACHONDROPLASIA; ACH,subject,disease_id,disease_id,OMIM:100800,ACHONDROPLASIA; ACH,https://omim.org/,
OMIM:101120,ACROCEPHALOPOLYSYNDACTYLY TYPE III,subject,disease_id,disease_id,OMIM:101120,ACROCEPHALOPOLYSYNDACTYLY TYPE III,https://omim.org/,
OMIM:102200,"PITUITARY ADENOMA 1, MULTIPLE TYPES; PITA1",subject,disease_id,disease_id,OMIM:102200,"PITUITARY ADENOMA 1, MULTIPLE TYPES; PITA1",https://omim.org/,
OMIM:102500,HAJDU-CHENEY SYNDROME; HJCYS,subject,disease_id,disease_id,OMIM:102500,HAJDU-CHENEY SYNDROME; HJCYS,https://omim.org/,
OMIM:105400,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,subject,disease_id,disease_id,OMIM:105400,AMYOTROPHIC LATERAL SCLEROSIS 1; ALS1,https://omim.org/,
OMIM:105830,ANGELMAN SYNDROME; AS,subject,disease_id,disease_id,OMIM:105830,ANGELMAN SYNDROME; AS,https://omim.org/,
OMIM:107480,TOWNES-BROCKS SYNDROME 1; TBS1,subject,disease_id,disease_id,OMIM:107480,TOWNES-BROCKS SYNDROME 1; TBS1,https://omim.org/,
OMIM:107970,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1",subject,disease_id,disease_id,OMIM:107970,"ARRHYTHMOGENIC RIGHT VENTRICULAR DYSPLASIA, FAMILIAL, 1; ARVD1",https://omim.org/,
OMIM:108120,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A",subject,disease_id,disease_id,OMIM:108120,"ARTHROGRYPOSIS, DISTAL, TYPE 1A; DA1A",https://omim.org/,
OMIM:108145,"ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5",subject,disease_id,disease_id,OMIM:108145,"ARTHROGRYPOSIS, DISTAL, TYPE 5; DA5",https://omim.org/,
OMIM:109730,AORTIC VALVE DISEASE 1; AOVD1,subject,disease_id,disease_id,OMIM:109730,AORTIC VALVE DISEASE 1; AOVD1,https://omim.org/,
OMIM:115200,"CARDIOMYOPATHY, DILATED, 1A; CMD1A",subject,disease_id,disease_id,OMIM:115200,"CARDIOMYOPATHY, DILATED, 1A; CMD1A",https://omim.org/,
OMIM:117000,CENTRAL CORE DISEASE OF MUSCLE; CCD,subject,disease_id,disease_id,OMIM:117000,CENTRAL CORE DISEASE OF MUSCLE; CCD,https://omim.org/,
OMIM:117550,SOTOS SYNDROME 1; SOTOS1,subject,disease_id,disease_id,OMIM:117550,SOTOS SYNDROME 1; SOTOS1,https://omim.org/,
OMIM:122430,"CORNEAL HYPESTHESIA WITH RETINAL ABNORMALITIES, SENSORINEURAL DEAFNESS, UNUSUAL FACIES, PERSISTENT DUCTUS ARTERIOSUS, AND MENTAL RETARDATION",subject,disease_id,disease_id,OMIM:122430,"CORNEAL HYPESTHESIA WITH RETINAL ABNORMALITIES, SENSORINEURAL DEAFNESS, UNUSUAL FACIES, PERSISTENT DUCTUS ARTERIOSUS, AND MENTAL RETARDATION",https://omim.org/,
OMIM:122470,CORNELIA DE LANGE SYNDROME 1; CDLS1,subject,disease_id,disease_id,OMIM:122470,CORNELIA DE LANGE SYNDROME 1; CDLS1,https://omim.org/,
OMIM:130000,"EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 1; EDSCL1",subject,disease_id,disease_id,OMIM:130000,"EHLERS-DANLOS SYNDROME, CLASSIC TYPE, 1; EDSCL1",https://omim.org/,
OMIM:130020,"EHLERS-DANLOS SYNDROME, HYPERMOBILITY TYPE; EDSHMB",subject,disease_id,disease_id,OMIM:130020,"EHLERS-DANLOS SYNDROME, HYPERMOBILITY TYPE; EDSHMB",https://omim.org/,
OMIM:132900,"AORTIC ANEURYSM, FAMILIAL THORACIC 4; AAT4",subject,disease_id,disease_id,OMIM:132900,"AORTIC ANEURYSM, FAMILIAL THORACIC 4; AAT4",https://omim.org/,
OMIM:133180,"ERYTHROLEUKEMIA, FAMILIAL, SUSCEPTIBILITY TO; FERLK",subject,disease_id,disease_id,OMIM:133180,"ERYTHROLEUKEMIA, FAMILIAL, SUSCEPTIBILITY TO; FERLK",https://omim.org/,
OMIM:133701,"EXOSTOSES, MULTIPLE, TYPE II; EXT2",subject,disease_id,disease_id,OMIM:133701,"EXOSTOSES, MULTIPLE, TYPE II; EXT2",https://omim.org/,
OMIM:135150,BIRT-HOGG-DUBE SYNDROME; BHD,subject,disease_id,disease_id,OMIM:135150,BIRT-HOGG-DUBE SYNDROME; BHD,https://omim.org/,
OMIM:135900,COFFIN-SIRIS SYNDROME 1; CSS1,subject,disease_id,disease_id,OMIM:135900,COFFIN-SIRIS SYNDROME 1; CSS1,https://omim.org/,
OMIM:137580,GILLES DE LA TOURETTE SYNDROME; GTS,subject,disease_id,disease_id,OMIM:137580,GILLES DE LA TOURETTE SYNDROME; GTS,https://omim.org/,
OMIM:142690,"ACNE INVERSA, FAMILIAL, 1; ACNINV1",subject,disease_id,disease_id,OMIM:142690,"ACNE INVERSA, FAMILIAL, 1; ACNINV1",https://omim.org/,
OMIM:143860,"HYPERCHLORHIDROSIS, ISOLATED; HYCHL",subject,disease_id,disease_id,OMIM:143860,"HYPERCHLORHIDROSIS, ISOLATED; HYCHL",https://omim.org/,
OMIM:146450,"HYPOSPADIAS 3, AUTOSOMAL; HYSP3",subject,disease_id,disease_id,OMIM:146450,"HYPOSPADIAS 3, AUTOSOMAL; HYSP3",https://omim.org/,
OMIM:147060,"HYPER-IgE RECURRENT INFECTION SYNDROME 1, AUTOSOMAL DOMINANT; HIES1",subject,disease_id,disease_id,OMIM:147060,"HYPER-IgE RECURRENT INFECTION SYNDROME 1, AUTOSOMAL DOMINANT; HIES1",https://omim.org/,
OMIM:147920,KABUKI SYNDROME 1; KABUK1,subject,disease_id,disease_id,OMIM:147920,KABUKI SYNDROME 1; KABUK1,https://omim.org/,
OMIM:151900,"LIPOMATOSIS, MULTIPLE",subject,disease_id,disease_id,OMIM:151900,"LIPOMATOSIS, MULTIPLE",https://omim.org/,
OMIM:154700,MARFAN SYNDROME; MFS,subject,disease_id,disease_id,OMIM:154700,MARFAN SYNDROME; MFS,https://omim.org/,
OMIM:155310,VISCERAL MYOPATHY; VSCM,subject,disease_id,disease_id,OMIM:155310,VISCERAL MYOPATHY; VSCM,https://omim.org/,
OMIM:157700,MITRAL VALVE PROLAPSE 1; MVP1,subject,disease_id,disease_id,OMIM:157700,MITRAL VALVE PROLAPSE 1; MVP1,https://omim.org/,
OMIM:157900,MOEBIUS SYNDROME; MBS,subject,disease_id,disease_id,OMIM:157900,MOEBIUS SYNDROME; MBS,https://omim.org/,
OMIM:157980,MOMO SYNDROME,subject,disease_id,disease_id,OMIM:157980,MOMO SYNDROME,https://omim.org/,
OMIM:158900,FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1; FSHD1,subject,disease_id,disease_id,OMIM:158900,FACIOSCAPULOHUMERAL MUSCULAR DYSTROPHY 1; FSHD1,https://omim.org/,
OMIM:161800,NEMALINE MYOPATHY 3; NEM3,subject,disease_id,disease_id,OMIM:161800,NEMALINE MYOPATHY 3; NEM3,https://omim.org/,
OMIM:162091,SCHWANNOMATOSIS 1; SWNTS1,subject,disease_id,disease_id,OMIM:162091,SCHWANNOMATOSIS 1; SWNTS1,https://omim.org/,
OMIM:163950,NOONAN SYNDROME 1; NS1,subject,disease_id,disease_id,OMIM:163950,NOONAN SYNDROME 1; NS1,https://omim.org/,
